X,Y,Z,label
6.524554252624512,-2.3215113951823847,-0.7433980924908745,1.0
6.654513359069824,-2.3371294653375987,-0.7405253064097167,1.0
6.7912116050720215,-2.353991758190097,-0.737754333670707,1.0
6.9660258293151855,-2.382743001860665,-0.7383602674975097,1.0
6.363675117492676,-2.228973828390589,-0.7825802950857976,1.0
6.448195457458496,-2.228927814794053,-0.7758555267252777,1.0
6.53542947769165,-2.2291310148227725,-0.7690595965954796,1.0
6.641301155090332,-2.2349067187572205,-0.764003923122214,1.0
6.734795093536377,-2.235706715536247,-0.7570564594417672,1.0
6.849125862121582,-2.242577761045687,-0.7519627867888068,1.0
6.959761142730713,-2.247317508461346,-0.7459314955885143,1.0
7.123292922973633,-2.2679975311581706,-0.7449112677072849,1.0
7.304780006408691,-2.292939222067222,-0.7449286508227108,1.0
6.246979236602783,-2.1537208236300556,-0.8247322440179125,1.0
6.316529273986816,-2.1486731625893407,-0.8171562513346312,1.0
6.399846076965332,-2.1477049160942205,-0.8110126972267404,1.0
6.473012447357178,-2.142711853456835,-0.8032257890682796,1.0
6.547799587249756,-2.137677033969295,-0.7953061659178217,1.0
6.652691841125488,-2.1417502734357377,-0.7906271877698746,1.0
6.746401309967041,-2.1414193871096834,-0.7841550306856794,1.0
6.844017505645752,-2.141559914050326,-0.7776931975045264,1.0
6.964354038238525,-2.1479238004698673,-0.7733015204142565,1.0
7.072831630706787,-2.149697707746738,-0.7670547179206424,1.0
7.186073303222656,-2.1520220100846132,-0.760806370184906,1.0
7.307635307312012,-2.1558844882523207,-0.7548883611144426,1.0
7.549698352813721,-2.193774172061052,-0.7605391220832028,1.0
7.789493560791016,-2.2289627772811786,-0.764782415752517,1.0
6.15969705581665,-2.08998837202232,-0.8689789597533962,1.0
6.227152347564697,-2.0842770625415503,-0.8619835731569171,1.0
6.308072566986084,-2.082488162421341,-0.8565147058333504,1.0
6.3788862228393555,-2.0767648836652683,-0.8493283349315836,1.0
6.464111328125,-2.0751176276300187,-0.8437052087534919,1.0
6.538665294647217,-2.0694135324950964,-0.8363249167229053,1.0
6.615101337432861,-2.0637155297296093,-0.8288449038503342,1.0
6.707348823547363,-2.062282241212562,-0.8229603707687749,1.0
6.788218975067139,-2.056664501686493,-0.8152836405914099,1.0
6.872290134429932,-2.051369291078718,-0.807617617507543,1.0
6.958625316619873,-2.0460790855932967,-0.7998303917281262,1.0
7.087761402130127,-2.0525044857063506,-0.7964608433487967,1.0
7.202483177185059,-2.0537623833716947,-0.7908979873699316,1.0
7.325178623199463,-2.056331947190701,-0.7856553457623463,1.0
7.455042839050293,-2.0598876775812665,-0.7805890739973136,1.0
7.592095375061035,-2.064343346132291,-0.7756482524574689,1.0
7.788483619689941,-2.083556830385486,-0.7759750971020344,1.0
8.05167007446289,-2.1187159929401105,-0.7818462874460858,1.0
6.099438667297363,-2.03647841838405,-0.9157705868972246,1.0
6.170032501220703,-2.031723995833652,-0.9100165166049597,1.0
6.231926918029785,-2.0235929122354746,-0.9026837792312163,1.0
6.295011043548584,-2.015371477158325,-0.8952481357955291,1.0
6.3702874183654785,-2.0105172320475657,-0.8892368561328525,1.0
6.44254732131958,-2.0041343125177375,-0.8824715619456129,1.0
6.516533374786377,-1.9977188235375358,-0.875613906507836,1.0
6.605738162994385,-1.9953247654586133,-0.8704293103879238,1.0
6.683880805969238,-1.988927982647906,-0.863405263672712,1.0
6.763972282409668,-1.9824924267305835,-0.8562757588968559,1.0
6.84737491607666,-1.97638660646197,-0.849195500367191,1.0
6.948187828063965,-1.9745743329815735,-0.8438519939051723,1.0
7.038809776306152,-1.9691043302604747,-0.8368310887219345,1.0
7.131969928741455,-1.9636181865424063,-0.8296927052322812,1.0
7.230023384094238,-1.958722459858479,-0.8226865890390095,1.0
7.35035514831543,-1.9589870977576733,-0.817710190678022,1.0
7.474906921386719,-1.9593874374593738,-0.8126322643047117,1.0
7.6138763427734375,-1.9624987857828178,-0.8085049620490682,1.0
7.760338306427002,-1.9663800286370767,-0.8045028082165266,1.0
7.912089824676514,-1.970387810615951,-0.8003482393931549,1.0
8.07027530670166,-1.9747359041836516,-0.7961158798782833,1.0
8.285216331481934,-1.9914392225367408,-0.7965976302651784,1.0
8.620208740234375,-2.034705483165366,-0.8072982222161639,0.0
6.061767578125,-1.9912783622700256,-0.9651454058297162,1.0
6.131467342376709,-1.9860370497312814,-0.9599976656673369,1.0
6.192543983459473,-1.9774977898388968,-0.9532083552283417,1.0
6.2548370361328125,-1.968876900189587,-0.9463348876999201,1.0
6.329125881195068,-1.9635038417995827,-0.9409714026513225,1.0
6.394131660461426,-1.954710992081044,-0.9339160805185263,1.0
6.460446834564209,-1.945815847986897,-0.9267618487270123,1.0
6.539769649505615,-1.9402731417753412,-0.9211471774529094,1.0
6.60922908782959,-1.931225357307593,-0.9138090996150483,1.0
6.680143356323242,-1.9220631603088865,-0.9063606764524721,1.0
6.765610694885254,-1.9164785883634086,-0.9005348006474874,1.0
6.8475341796875,-1.9092324482094751,-0.8938575019854823,1.0
6.932986259460449,-1.9023144560392744,-0.8872622402270399,1.0
7.023144245147705,-1.8959967817591612,-0.8808703118537089,1.0
7.115810871124268,-1.88963514250283,-0.8743766727929313,1.0
7.231442451477051,-1.8885405284867267,-0.870224874206009,1.0
7.333124160766602,-1.8829332608002312,-0.8638923300314396,1.0
7.4406890869140625,-1.8780050049357744,-0.8577727295240051,1.0
7.551755905151367,-1.8730894562176252,-0.8515538719739175,1.0
7.667865753173828,-1.8685187045133076,-0.8453805849668335,1.0
7.787397384643555,-1.8638404799068358,-0.8390410638268054,1.0
7.935461044311523,-1.864913527284159,-0.8351535491421984,1.0
